PROC     COMM             PID    FD     ERR    FNAME           
PROC:    containerd-shim  46011  0      0      /usr/bin/runc   
PROC:    containerd-shim  46011  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc             46011  0      0      /etc/ld.so.cache
PROC:    runc             46011  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    runc             46011  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    runc             46011  0      0      /sys/kernel/mm/transparent_hugepage/hpage_pmd_size
PROC:    runc             46011  0      0      /usr/bin/runc   
PROC:    runc             46011  0      0      /proc/sys/kernel/cap_last_cap
PROC:    runc             46011  0      0      /run/containerd/io.containerd.runtime.v2.task/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/log.json
PROC:    runc             46011  0      0      /proc/cpuinfo   
PROC:    runc             46011  0      0      /proc/46011/mountinfo
PROC:    runc             46011  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/state.json
PROC:    runc             46011  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.freeze
PROC:    runc             46011  0      0      /proc/45834/stat
PROC:    runc             46011  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.freeze
PROC:    runc             46011  0      0      /proc/45834/stat
PROC:    runc             46011  0      0      /tmp/runc-process87558306
PROC:    runc             46011  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/memory.events
PROC:    runc             46020  0      0      /usr/bin/runc   
PROC:    runc             46020  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    exe              46020  0      0      /etc/ld.so.cache
PROC:    exe              46020  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    exe              46020  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    exe              46020  0      0      /usr/bin/runc   
PROC:    exe              46020  0      0      /proc/46020/cmdline
PROC:    exe              46020  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/runc.4bqtW8
PROC:    exe              46020  0      0      /proc/self/exe  
PROC:    exe              46020  0      0                      
PROC:    exe              46020  0      0      /               
PROC:    exe              46020  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    5                46020  0      0      /etc/ld.so.cache
PROC:    5                46020  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    5                46020  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    5                46020  0      0      /               
PROC:    5                46020  0      0      /proc/46020/oom_score_adj
PROC:    runc:[1:CHILD]   46023  0      0      ipc:[4026532711]
PROC:    runc:[1:CHILD]   46023  0      0      uts:[4026532710]
PROC:    runc:[1:CHILD]   46023  0      0      net:[4026532713]
PROC:    runc:[1:CHILD]   46023  0      0      pid:[4026532712]
PROC:    runc:[1:CHILD]   46023  0      0      mnt:[4026532709]
PROC:    runc:[1:CHILD]   46023  0      0      cgroup:[4026532879]
PROC:    runc:[2:INIT]    46024  0      0      /sys/kernel/mm/transparent_hugepage/hpage_pmd_size
PROC:    runc             46011  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.procs
PROC:    runc:[2:INIT]    46024  0      0      /               
PROC:    runc:[2:INIT]    46024  0      0      /               
PROC:    runc:[2:INIT]    46024  0      0      /proc/sys/kernel/cap_last_cap
PROC:    runc:[2:INIT]    46024  0      0      /proc/filesystems
PROC:    runc:[2:INIT]    46024  0      0      /proc/9/fd      
PROC:    runc:[2:INIT]    46024  0      0      /proc/9/status  
PROC:    runc:[2:INIT]    46024  0      0      /etc/passwd     
PROC:    runc:[2:INIT]    46024  0      0      /etc/passwd     
PROC:    runc:[2:INIT]    46024  0      0      /etc/group      
PROC:    runc:[2:INIT]    46024  0      0      /etc/group      
PROC:    runc:[2:INIT]    46024  0      0      /etc/group      
PROC:    runc:[2:INIT]    46024  0      0      /etc/group      
PROC:    runc:[2:INIT]    46024  0      0      /proc/9/setgroups
PROC:    runc:[2:INIT]    46024  0      0      /usr/bin/bash   
PROC:    runc:[2:INIT]    46024  0      0      /usr/bin/bash   
PROC:    runc:[2:INIT]    46024  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc:[2:INIT]    46024  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc             46011  0      0      /run/containerd/io.containerd.runtime.v2.task/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/.cf3d5460b3748245daa74949891c05e2474a97535c8a0ce209f67ea26cffbfbe.pid
PROC:    bash             46024  0      0      /etc/ld.so.cache
PROC:    bash             46024  0      0      /etc/ld.so.cache
PROC:    bash             46024  0      0      /usr/lib/x86_64-linux-gnu/libtinfo.so.6.3
PROC:    bash             46024  0      0      /usr/lib/x86_64-linux-gnu/libtinfo.so.6.3
PROC:    bash             46024  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    bash             46024  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    bash             46024  0      0      /dev/tty        
PROC:    bash             46024  0      0      /etc/nsswitch.conf
PROC:    bash             46024  0      0      /etc/nsswitch.conf
PROC:    bash             46024  0      0      /etc/passwd     
PROC:    bash             46024  0      0      /etc/passwd     
PROC:    containerd-shim  46052  0      0      /usr/bin/runc   
PROC:    containerd-shim  46052  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc             46052  0      0      /etc/ld.so.cache
PROC:    runc             46052  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    runc             46052  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    runc             46052  0      0      /sys/kernel/mm/transparent_hugepage/hpage_pmd_size
PROC:    runc             46052  0      0      /usr/bin/runc   
PROC:    runc             46052  0      0      /proc/sys/kernel/cap_last_cap
PROC:    runc             46052  0      0      /run/containerd/io.containerd.runtime.v2.task/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/log.json
PROC:    runc             46052  0      0      /proc/cpuinfo   
PROC:    runc             46052  0      0      /proc/46052/mountinfo
PROC:    runc             46052  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/state.json
PROC:    runc             46052  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.freeze
PROC:    runc             46052  0      0      /proc/45834/stat
PROC:    runc             46052  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.freeze
PROC:    runc             46052  0      0      /proc/45834/stat
PROC:    runc             46052  0      0      /tmp/runc-process661967681
PROC:    runc             46052  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/memory.events
PROC:    runc             46052  0      0      /dev/null       
PROC:    runc             46052  0      0      /dev/null       
PROC:    runc             46052  0      0      /dev/null       
PROC:    runc             46060  0      0      /usr/bin/runc   
PROC:    runc             46060  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    exe              46060  0      0      /etc/ld.so.cache
PROC:    exe              46060  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    exe              46060  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    exe              46060  0      0      /usr/bin/runc   
PROC:    exe              46060  0      0      /proc/46060/cmdline
PROC:    exe              46060  0      0      /run/docker/runtime-runc/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/runc.KzW6C7
PROC:    exe              46060  0      0      /proc/self/exe  
PROC:    exe              46060  0      0                      
PROC:    exe              46060  0      0      /               
PROC:    exe              46060  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    6                46060  0      0      /etc/ld.so.cache
PROC:    6                46060  0      0      /usr/lib/x86_64-linux-gnu/libseccomp.so.2.5.4
PROC:    6                46060  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    6                46060  0      0      /               
PROC:    6                46060  0      0      /proc/46060/oom_score_adj
PROC:    runc:[1:CHILD]   46062  0      0      ipc:[4026532711]
PROC:    runc:[1:CHILD]   46062  0      0      uts:[4026532710]
PROC:    runc:[1:CHILD]   46062  0      0      net:[4026532713]
PROC:    runc:[1:CHILD]   46062  0      0      pid:[4026532712]
PROC:    runc:[1:CHILD]   46062  0      0      mnt:[4026532709]
PROC:    runc:[1:CHILD]   46062  0      0      cgroup:[4026532879]
PROC:    runc             46052  0      0      /sys/fs/cgroup/system.slice/docker-c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836.scope/cgroup.procs
PROC:    runc:[2:INIT]    46063  0      0      /sys/kernel/mm/transparent_hugepage/hpage_pmd_size
PROC:    runc:[2:INIT]    46063  0      0      /               
PROC:    runc:[2:INIT]    46063  0      0      /               
PROC:    runc:[2:INIT]    46063  0      0      /proc/sys/kernel/cap_last_cap
PROC:    runc:[2:INIT]    46063  0      0      /proc/filesystems
PROC:    runc:[2:INIT]    46063  0      0      /dev/pts/ptmx   
PROC:    runc:[2:INIT]    46063  0      0      /dev/pts/1      
PROC:    runc:[2:INIT]    46063  0      0      /proc/15/fd     
PROC:    runc:[2:INIT]    46063  0      0      /proc/15/status 
PROC:    runc:[2:INIT]    46063  0      0      /etc/passwd     
PROC:    runc:[2:INIT]    46063  0      0      /etc/passwd     
PROC:    runc:[2:INIT]    46063  0      0      /etc/group      
PROC:    runc:[2:INIT]    46063  0      0      /etc/group      
PROC:    runc:[2:INIT]    46063  0      0      /etc/group      
PROC:    runc:[2:INIT]    46063  0      0      /etc/group      
PROC:    runc:[2:INIT]    46063  0      0      /proc/15/setgroups
PROC:    runc:[2:INIT]    46063  0      0      /usr/bin/bash   
PROC:    runc:[2:INIT]    46063  0      0      /usr/bin/bash   
PROC:    runc:[2:INIT]    46063  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    runc:[2:INIT]    46063  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46063  0      0      /etc/ld.so.cache
PROC:    bash             46063  0      0      /etc/ld.so.cache
PROC:    bash             46063  0      0      /usr/lib/x86_64-linux-gnu/libtinfo.so.6.3
PROC:    bash             46063  0      0      /usr/lib/x86_64-linux-gnu/libtinfo.so.6.3
PROC:    bash             46063  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    bash             46063  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    bash             46063  0      0      /dev/tty        
PROC:    bash             46063  0      0      /etc/nsswitch.conf
PROC:    bash             46063  0      0      /etc/nsswitch.conf
PROC:    bash             46063  0      0      /etc/passwd     
PROC:    bash             46063  0      0      /etc/passwd     
PROC:    bash             46063  0      0      /usr/lib/terminfo/x/xterm
PROC:    bash             46063  0      0      /usr/lib/terminfo/x/xterm
PROC:    bash             46063  0      0      /etc/bash.bashrc
PROC:    bash             46063  0      0      /etc/bash.bashrc
PROC:    runc             46052  0      0      /run/containerd/io.containerd.runtime.v2.task/moby/c1051863c8ba388befdb0baf81a24c791666b2511dcc3f99f39fd3f93cc6b836/.dbaa8b66134dc01dd434d5c05a34f28c8977ae3637d2353c245e55911068249c.pid
